symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
AAPL,2018-09-20 00:00:00+00:00,220.03,222.28,219.15,220.24,26608794,52.8231408493,53.3633038585,52.6118770946,52.8735560635,106435176,0.0,1.0
AAPL,2018-09-21 00:00:00+00:00,217.66,221.36,217.29,220.78,96246748,52.2541691463,53.1424372059,52.1653423404,53.0031951857,384986992,0.0,1.0
AAPL,2018-09-24 00:00:00+00:00,220.79,221.26,216.63,216.82,27693358,53.0055959102,53.118429961,52.0068945243,52.0525082895,110773432,0.0,1.0
AAPL,2018-09-25 00:00:00+00:00,222.19,222.82,219.7,219.75,24554379,53.3416973381,53.4929429807,52.7439169413,52.7559205637,98217516,0.0,1.0
AAPL,2018-09-26 00:00:00+00:00,220.42,223.75,219.76,221.0,23984706,52.9167691042,53.7162103578,52.7583212882,53.0560111244,95938824,0.0,1.0
AAPL,2018-09-27 00:00:00+00:00,224.95,226.44,223.54,223.82,30181227,54.0042972961,54.3620052444,53.6657951436,53.7330154292,120724908,0.0,1.0
AAPL,2018-09-28 00:00:00+00:00,225.74,225.84,224.02,224.79,22929364,54.1939545304,54.2179617753,53.7810299189,53.9658857043,91717456,0.0,1.0
AAPL,2018-10-01 00:00:00+00:00,227.26,229.42,226.35,227.95,23600802,54.5588646522,55.077421141,54.340398724,54.7245146416,94403208,0.0,1.0
AAPL,2018-10-02 00:00:00+00:00,229.28,230.0,226.63,227.25,24788170,55.0438109982,55.2166631611,54.4076190096,54.5564639277,99152680,0.0,1.0
AAPL,2018-10-03 00:00:00+00:00,232.07,233.47,229.78,230.05,28654799,55.7136131296,56.0497145575,55.1638472225,55.2286667836,114619196,0.0,1.0
AAPL,2018-10-04 00:00:00+00:00,227.99,232.35,226.73,230.78,32042000,54.7341175396,55.7808334152,54.4316262544,55.403919671,128168000,0.0,1.0
AAPL,2018-10-05 00:00:00+00:00,224.29,228.41,220.58,227.96,33580463,53.84584948,54.834947968,52.955180696,54.7269153661,134321852,0.0,1.0
AAPL,2018-10-08 00:00:00+00:00,223.77,224.8,220.2,222.21,29663923,53.7210118068,53.9682864288,52.8639531656,53.3464987871,118655692,0.0,1.0
AAPL,2018-10-09 00:00:00+00:00,226.87,227.27,222.25,223.64,26891029,54.4652363972,54.5612653767,53.356101685,53.6898023885,107564116,0.0,1.0
AAPL,2018-10-10 00:00:00+00:00,216.36,226.35,216.05,225.46,41990554,51.9420749632,54.340398724,51.8676525042,54.1267342448,167962216,0.0,1.0
AAPL,2018-10-11 00:00:00+00:00,214.45,219.5,212.32,214.52,53124392,51.4835365865,52.6959024516,50.9721822712,51.5003416579,212497568,0.0,1.0
AAPL,2018-10-12 00:00:00+00:00,222.11,222.88,216.84,220.42,40337851,53.3224915423,53.5073473276,52.0573097385,52.9167691042,161351404,0.0,1.0
AAPL,2018-10-15 00:00:00+00:00,217.36,221.83,217.27,221.16,30791007,52.1821474118,53.2552712567,52.1605408914,53.0944227162,123164028,0.0,1.0
AAPL,2018-10-16 00:00:00+00:00,222.15,222.99,216.76,218.93,29183963,53.3320944402,53.533755297,52.0381039426,52.5590611559,116735852,0.0,1.0
AAPL,2018-10-17 00:00:00+00:00,221.19,222.64,219.34,222.3,22885397,53.1016248896,53.44972994,52.6574908598,53.3681053075,91541588,0.0,1.0
AAPL,2018-10-18 00:00:00+00:00,216.02,219.74,213.0,217.86,32581315,51.8604503307,52.7535198392,51.1354315362,52.302183636,130325260,0.0,1.0
AAPL,2018-10-19 00:00:00+00:00,219.31,221.26,217.43,218.06,33078726,52.6502886864,53.118429961,52.1989524831,52.3501981257,132314904,0.0,1.0
AAPL,2018-10-22 00:00:00+00:00,220.65,223.36,218.94,219.79,28792082,52.9719857674,53.6225821029,52.5614618804,52.7655234617,115168328,0.0,1.0
AAPL,2018-10-23 00:00:00+00:00,222.73,223.25,214.7,215.83,38767846,53.4713364603,53.5961741336,51.5435546987,51.8148365655,155071384,0.0,1.0
AAPL,2018-10-24 00:00:00+00:00,215.09,224.23,214.54,222.6,40925163,51.6371829536,53.8314451331,51.5051431069,53.440127042,163700652,0.0,1.0
AAPL,2018-10-25 00:00:00+00:00,219.8,221.38,216.75,217.71,29855768,52.7679241862,53.1472386548,52.0357032182,52.2661727687,119423072,0.0,1.0
AAPL,2018-10-26 00:00:00+00:00,216.3,220.19,212.67,215.9,47258375,51.9276706163,52.8615524411,51.0562076282,51.8316416369,189033500,0.0,1.0
AAPL,2018-10-29 00:00:00+00:00,212.24,219.69,206.09,219.19,45935520,50.9529764753,52.7415162168,49.4765309169,52.6214799926,183742080,0.0,1.0
AAPL,2018-10-30 00:00:00+00:00,213.3,215.18,209.27,211.15,36659990,51.2074532707,51.658789474,50.2399613032,50.6912975064,146639960,0.0,1.0
AAPL,2018-10-31 00:00:00+00:00,218.86,220.45,216.62,216.88,38358933,52.5422560845,52.9239712777,52.0044937998,52.0669126365,153435732,0.0,1.0
AAPL,2018-11-01 00:00:00+00:00,222.22,222.36,216.81,219.05,58323180,53.3488995116,53.3825096544,52.0501075651,52.5878698498,233292720,0.0,1.0
AAPL,2018-11-02 00:00:00+00:00,207.48,213.65,205.43,209.55,91328654,49.8102316203,51.2914786277,49.3180831008,50.3071815888,365314616,0.0,1.0
